path,label,source_path
data\processed\labelled_4232\Normal\images\Normal-2058.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2058.png
data\processed\labelled_4232\Normal\images\Normal-7356.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7356.png
data\processed\labelled_4232\Normal\images\Normal-6989.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6989.png
data\processed\labelled_4232\Normal\images\Normal-7179.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7179.png
data\processed\labelled_4232\Normal\images\Normal-3135.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3135.png
data\processed\labelled_4232\Normal\images\Normal-1866.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1866.png
data\processed\labelled_4232\Normal\images\Normal-4284.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4284.png
data\processed\labelled_4232\Normal\images\Normal-8496.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8496.png
data\processed\labelled_4232\Normal\images\Normal-70.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-70.png
data\processed\labelled_4232\Normal\images\Normal-246.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-246.png
data\processed\labelled_4232\Normal\images\Normal-5658.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5658.png
data\processed\labelled_4232\Normal\images\Normal-7961.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7961.png
data\processed\labelled_4232\Normal\images\Normal-2718.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2718.png
data\processed\labelled_4232\Normal\images\Normal-496.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-496.png
data\processed\labelled_4232\Normal\images\Normal-1969.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1969.png
data\processed\labelled_4232\Normal\images\Normal-2079.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2079.png
data\processed\labelled_4232\Normal\images\Normal-1398.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1398.png
data\processed\labelled_4232\Normal\images\Normal-9194.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9194.png
data\processed\labelled_4232\Normal\images\Normal-2494.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2494.png
data\processed\labelled_4232\Normal\images\Normal-8254.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8254.png
