path,source_path
data\processed\unlabelled_16934\images\unlabelled_00000_c54b6941c4.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\sub-S09440_ses-E19833_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00001_1829df68c9.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\COVID-19\images\covid_218.png
data\processed\unlabelled_16934\images\unlabelled_00002_c79785d3ab.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10733_ses-E23315_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00003_2b36804004.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10147_ses-E21202_run-1_bp-chest_vp-pa_cr.png
data\processed\unlabelled_16934\images\unlabelled_00004_8286898b9c.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_4610.png
data\processed\unlabelled_16934\images\unlabelled_00005_34288b64a7.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Non-COVID\images\non_COVID (3453).png
data\processed\unlabelled_16934\images\unlabelled_00006_0e7590e9a5.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\sub-S09323_ses-E20699_run-1_bp-chest_vp-ap_cr.png
data\processed\unlabelled_16934\images\unlabelled_00007_6a16de40af.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\COVID-19\images\sub-S11875_ses-E22868_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00008_7bced3c863.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Val\Normal\images\Normal (660).png
data\processed\unlabelled_16934\images\unlabelled_00009_a3859c5f61.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Normal\images\Normal (1376).png
data\processed\unlabelled_16934\images\unlabelled_00010_49116d290d.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (10464).png
data\processed\unlabelled_16934\images\unlabelled_00011_6db6f33d80.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\COVID-19\images\covid_3782.png
data\processed\unlabelled_16934\images\unlabelled_00012_05a8375bad.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\COVID-19\images\covid_3601.png
data\processed\unlabelled_16934\images\unlabelled_00013_3ad6d908f5.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\covid_2787.png
